# An atlas of Standard Star Fields for UBVRI Photometric Calibration
# Paul S. Smith
# Steward Observatory, University of Arizona, Tucson, AZ 85721 USA
# January 1997; revised March 2001
# Abstract: Photometric standard stars chosen from Landolt (1992) are presented 
# in an atlas of 156 charts produced from Digital Sky Survey. Stars 
# are distributed throughout all hours of Right Ascension and most of 
# these UBVRI standards are equatorial. Charts are presented with a 
# 6.8' x 6.8' field of view.
# http://james.as.arizona.edu/~psmith/61inch/ATLAS/atlasinfo.html
#
# To get from CHART to the URL: 
# http://james.as.arizona.edu/~psmith/61inch/ATLAS/charts/cCHART.html#
# e.g. http://james.as.arizona.edu/~psmith/61inch/ATLAS/charts/c3.html#
# e.g. http://james.as.arizona.edu/~psmith/61inch/ATLAS/charts/c21.html#
# e.g. http://james.as.arizona.edu/~psmith/61inch/ATLAS/charts/c153.html#
#
# All tables combined and put in CSV format via an Excel file, which Julia has.
# 
Star,RA (J2000),Dec (J2000),V,B-V,U-B,V-R,R-I,Color,Chart
PG1633+099C,16:35:38,+09:46:16,13.229,1.134,1.138,0.618,0.523,,109
PG1633+099D,16:35:40,+09:46:43,13.691,0.535,-0.025,0.324,0.327,,109
108 475,16:37:00,-00:34:40,11.309,1.38,1.462,0.744,0.665,,110
108 551,16:37:47,-00:33:06,10.703,0.179,0.178,0.099,0.11,,111
109 71,17:44:06,-00:24:59,11.493,0.323,0.153,0.186,0.223,,112
109 381,17:44:12,-00:20:32,11.73,0.704,0.225,0.428,0.435,,112
109 954,17:44:15,-00:02:17,12.436,1.296,0.956,0.764,0.731,,113
109 231,17:45:20,-00:25:51,9.332,1.462,1.593,0.785,0.704,RED,114
109 537,17:45:42,-00:21:34,10.353,0.609,0.227,0.376,0.392,,114
G21 15,18:27:13,+04:03:05,13.889,0.092,-0.598,-0.039,-0.03,BLUE,115
110 229,18:40:45,+00:01:51,13.649,1.91,1.391,1.198,1.155,RED,116
110 230,18:40:51,+00:02:23,14.281,1.084,0.728,0.624,0.596,,116
110 232,18:40:52,+00:01:58,12.516,0.729,0.147,0.439,0.45,,116
110 233,18:40:52,+00:00:51,12.771,1.281,0.812,0.773,0.818,,116
110 340,18:41:29,+00:15:22,10.025,0.303,0.127,0.17,0.182,,117
110 477,18:41:43,+00:26:41,13.988,1.345,0.715,0.85,0.857,,118
110 355,18:42:19,+00:08:24,11.944,1.023,0.504,0.652,0.727,,119
110 361,18:42:45,+00:08:04,12.425,0.632,0.035,0.361,0.348,,120
110 364,18:42:52,+00:07:54,13.615,1.133,1.095,0.697,0.585,,120
110 365,18:42:57,+00:07:20,13.47,2.261,1.895,1.36,1.27,RED,120
110 499,18:43:07,+00:28:00,11.737,0.987,0.639,0.6,0.674,,121
110 502,18:43:10,+00:27:40,12.33,2.326,2.326,1.373,1.25,RED,121
110 503,18:43:11,+00:29:43,11.773,0.671,0.506,0.373,0.436,,121
110 280,18:43:07,-00:03:40,12.996,2.151,2.133,1.235,1.148,RED,122
110 441,18:43:34,+00:19:40,11.121,0.555,0.112,0.324,0.336,,123
110 450,18:43:52,+00:22:58,11.585,0.944,0.691,0.552,0.625,,123
111 775,19:37:16,+00:12:05,10.744,1.738,2.029,0.965,0.896,RED,124
111 773,19:37:16,+00:10:59,8.963,0.206,-0.21,0.119,0.144,,124
111 1925,19:37:29,+00:25:01,12.388,0.395,0.262,0.221,0.253,,125
111 1965,19:37:42,+00:26:50,11.419,1.71,1.865,0.951,0.877,RED,125
111 1969,19:37:44,+00:25:48,10.382,1.959,2.306,1.177,1.222,RED,125
112 595,20:41:18,+00:16:28,11.352,1.601,1.993,0.899,0.901,RED,126
